Title	URL	Status	Size	Iteration	Start date	End date	Completion Time	Assignees
Implement Movement Commands	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/38	Done	S	Sprint2		Feb 3, 2025	5	SauravPoudyel
Implement Static & Animated Sprites	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/39	Done	M	Sprint2		Feb 5, 2025	8	manzlerh, SauravPoudyel
Implement Text Sprites	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/40	Done	XS	Sprint2		Feb 10, 2025	14	manzlerh
Optimize Sprite Sheets	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/41	Done	M	Sprint2		Feb 6, 2025	6	manzlerh
Implement Game Manager	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/42	Done	L	Sprint2		Feb 11, 2025	6	manzlerh, SauravPoudyel
Implement EventManager	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/47	Done	M	Sprint2		Feb 11, 2025	7	SauravPoudyel
Implement Sprite Manager	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/43	Done	XS	Sprint2		Feb 12, 2025	6	SauravPoudyel
Create map for inheritance trees	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/44	Done	M	Sprint2		Feb 12, 2025	6	AlexanderNistor04
Create map for class interactions	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/45	Done	L	Sprint2		Feb 12, 2025	7	AlexanderNistor04
Create GameState and Menu	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/46	Done	L	Sprint2		Feb 12, 2025	5	SauravPoudyel
Add In-game Pause Menu	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/93	Done	M	Sprint3			5	manzlerh
Implement Selection between Multiple Levels	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/94	Done	M	Sprint3			5	manzlerh
Implement CSV Parser for Level Files (Entities and Tiles)	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/issues/95	Done	L	Sprint3			9	manzlerh
Level Transitions, Level Connections, Level Permanency, and Loading Screen	https://github.com/SauravPoudyel/CSE3902-G3Repo-2025/pull/137	Done						
